Ano;Mês;UF;IMPOSTO SOBRE IMPORTAÇÃO;IMPOSTO SOBRE EXPORTAÇÃO;IRPF;COFINS;RECEITA PREVIDENCIÁRIA;IRRF - RENDIMENTOS DO TRABALHO
2000;Setembro;MS;593533.0;5018.0;2797071.0;10997346.0;0.0;2573726.0
2000;Setembro;MG;41014108.0;2909.0;20222038.0;227409342.0;0.0;57205925.0
2000;Setembro;PA;5204507.0;125.0;2823613.0;18480517.0;0.0;6279841.0
2000;Setembro;PB;1292549.0;760.0;2135441.0;10910855.0;0.0;3922931.0
2000;Setembro;PR;65080278.0;1324.0;15332890.0;147892800.0;0.0;30373995.0
2000;Setembro;PE;12798370.0;10.0;6597171.0;49172406.0;0.0;12798581.0
2000;Setembro;PI;493362.0;224.0;1281121.0;7275922.0;0.0;1369350.0
2000;Setembro;RJ;52578982.0;664675.0;57749374.0;873894845.0;0.0;146882900.0
2000;Setembro;RN;2577750.0;540.0;1595709.0;11040671.0;0.0;3327679.0
2000;Setembro;RS;32663108.0;4095.0;29848048.0;214520921.0;0.0;48693899.0
2000;Setembro;RO;17576.0;94.0;891752.0;5751280.0;0.0;834496.0
2000;Setembro;RR;5133.0;33.0;329728.0;1321375.0;0.0;632390.0
2000;Setembro;SC;16808081.0;7722.0;6232228.0;88494051.0;0.0;17829410.0
2000;Setembro;SP;408287914.0;3850.0;134278032.0;1472205891.0;0.0;459844356.0
2000;Setembro;SE;1078011.0;57.0;1682433.0;7324934.0;0.0;2099680.0
2000;Setembro;TO;211119.0;316.0;373589.0;3130771.0;0.0;423896.0
2000;Outubro;AC;2390.0;0.0;222122.0;1723779.0;0.0;618016.0
2000;Outubro;AL;986164.0;18078.0;741453.0;7658354.0;0.0;2550887.0
2000;Outubro;AP;35860.0;0.0;181565.0;1513695.0;0.0;325888.0
2000;Outubro;AM;15264206.0;0.0;1156901.0;64018976.0;0.0;9832741.0
2000;Outubro;BA;24384640.0;4979.0;4478931.0;83836977.0;0.0;19372574.0
2000;Outubro;CE;10270635.0;239.0;2493316.0;37544530.0;0.0;12253339.0
2000;Outubro;DF;3165696.0;12.0;4551793.0;132236980.0;0.0;432501510.0
2000;Outubro;ES;65033635.0;86.0;1578796.0;49235337.0;0.0;8837405.0
2000;Outubro;GO;10918223.0;1508.0;1462950.0;49637069.0;0.0;7505648.0
2000;Outubro;MA;7001166.0;75.0;647197.0;9043287.0;0.0;2996777.0
2000;Outubro;MT;802072.0;10.0;1031178.0;15532805.0;0.0;3684444.0
2000;Outubro;MS;221903.0;204.0;1304127.0;11276866.0;0.0;2664418.0
2000;Outubro;MG;39463981.0;152.0;10715640.0;221423299.0;0.0;53711625.0
2000;Outubro;PA;4332469.0;56.0;1441843.0;18920328.0;0.0;6248162.0
2000;Outubro;PB;1329412.0;10.0;948080.0;11140347.0;0.0;4019825.0
2000;Outubro;PR;74722262.0;237.0;8295928.0;150208915.0;0.0;33933862.0
